day,depth,co2,se
3,surface,0.808879182,0.056858931
10,surface,0.347586477,0.059752369
25,surface,0.192245702,0.012178512
60,surface,0.164891477,0.025870783
125,surface,0.023421051,0.006462296
216,surface,0.054469207,0.007499293
337,surface,0.028040748,0.000683791
371,surface,0.019148063,0.00134901
745,surface,0.027056335,0.00298556
3,subsurface,0.771695957,0.033994073
10,subsurface,0.365117599,0.035344724
25,subsurface,0.205673792,0.046305228
60,subsurface,0.140305286,0.0116244
125,subsurface,0.06234186,0.033470482
216,subsurface,0.035717987,0.004613268
337,subsurface,0.024669158,0.004178709
371,subsurface,0.01574481,0.002024612
745,subsurface,0.01179856,0.002383399
